shape,max_tem,tem_rate,height,length,width,W_top,W_side,W_bottom,tem_initial,tem_out,days,location,y_temp
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,0,top,15
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,0.1,top,16.3394774
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,0.2,top,17.12465888
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,0.3,top,17.84725789
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,0.4,top,18.53906179
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,0.5,top,19.17363665
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,0.6,top,19.7311696
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,0.7,top,20.20211996
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,0.8,top,20.58401474
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,0.9,top,20.87870413
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,1,top,21.09054209
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,1.1,top,21.22522747
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,1.2,top,21.28907483
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,1.3,top,21.28856206
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,1.4,top,21.2300562
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,1.5,top,21.1196535
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,1.6,top,20.96309238
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,1.7,top,20.76566197
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,1.8,top,20.53044111
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,1.9,top,20.26330826
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,2,top,19.96969648
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,2.1,top,19.65332314
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,2.2,top,19.31743944
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,2.3,top,18.96501264
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,2.4,top,18.59872776
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,2.5,top,18.22111215
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,2.6,top,17.83451747
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,2.7,top,17.44107008
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,2.8,top,17.04265016
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,2.9,top,16.64089977
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,3,top,16.23724604
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,3.5,top,14.22680132
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,4,top,12.31764017
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,4.5,top,10.55462555
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,5,top,8.952233458
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,5.5,top,7.509886137
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,6,top,6.221131753
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,6.5,top,5.073538904
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,7,top,4.053332057
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,7.5,top,3.147068944
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,8,top,2.34184147
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,9,top,1.046027573
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,10,top,0.000868401
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,11,top,-0.846470563
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,16,top,-2.885525908
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,21,top,-3.902987816
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,26,top,-4.421612294
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,31,top,-4.690589568
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,37,top,-4.845537883
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,43,top,-4.920769512
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,-5,53,top,-4.966800702
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,0,top,20
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,0.1,top,20.8921583
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,0.2,top,21.22381792
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,0.3,top,21.58485901
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,0.4,top,21.99395642
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,0.5,top,22.40231847
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,0.6,top,22.77340297
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,0.7,top,23.08628535
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,0.8,top,23.33082127
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,0.9,top,23.50365632
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,1,top,23.60557424
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,1.1,top,23.63979121
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,1.2,top,23.61086688
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,1.3,top,23.52401473
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,1.4,top,23.38467071
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,1.5,top,23.19822888
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,1.6,top,22.96988463
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,1.7,top,22.7044963
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,1.8,top,22.40479251
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,1.9,top,22.07636026
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,2,top,21.72438511
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,2.1,top,21.35237034
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,2.2,top,20.96337918
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,2.3,top,20.56021178
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,2.4,top,20.14540269
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,2.5,top,19.72134874
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,2.6,top,19.29028662
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,2.7,top,18.85423756
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,2.8,top,18.41498285
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,2.9,top,17.97407032
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,3,top,17.53283711
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,3.5,top,15.3654149
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,4,top,13.32369792
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,4.5,top,11.44767119
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,5,top,9.748115008
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,5.5,top,8.221614526
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,6,top,6.859509268
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,6.5,top,5.647624827
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,7,top,4.570792422
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,7.5,top,3.614442864
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,8,top,2.7647466
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,9,top,1.397226324
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,10,top,0.293777636
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,11,top,-0.60126938
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,16,top,-2.758003168
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,21,top,-3.835209795
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,26,top,-4.384835132
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,31,top,-4.670187372
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,37,top,-4.834804966
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,43,top,-4.914890151
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,-5,53,top,-4.964092501
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,0,top,15
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,0.1,top,16.7867965
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,0.2,top,18.02549984
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,0.3,top,19.10965677
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,0.4,top,20.08416716
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,0.5,top,20.94495484
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,0.6,top,21.68893624
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,0.7,top,22.31795457
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,0.8,top,22.83720821
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,0.9,top,23.25375195
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,1,top,23.57550994
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,1.1,top,23.81066373
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,1.2,top,23.96728278
sw1,48.8,0.73,4.4,20,2,13,14,2.7,15,0,1.3,top,24.05310939
